cell_number,neighbours,nation,productivity,national_productivity,border_cell,India,SEA,cell_into_conflict,nation_in_conflict,prod_faced,already_conflict,river,ruggedness,uniform_productivity,uniform_national_productivity,religion,language_group,temp_min,temp_max,religion_1450,ruggedness_vrm,hemid_temp_min,hemid_temp_max,wc_temp_max,wc_temp_min,productivity_gaezv4,national_productivity_gaezv4
435,"402,403,434,436,465,466",435,47.12204801,47.12204801,1,1,0,0,,,0,1,1.31530636,1,1,1,6,179.0542171,308.1507697,2,0.499105293,193.5838353,303.7448126,320.1796857,184.8918141,2303.741935,2303.741935
436,"403,404,435,437,466,467",436,54.68071348,54.68071348,1,1,0,0,,,0,1,1.683124218,1,1,1,6,179.2177042,312.5773093,2,0.458793786,185.083668,312.7638889,326.8835274,188.5429914,2057.645161,2057.645161
437,"404,405,436,438,467,468",437,41.2255711,41.2255711,1,1,0,0,,,0,0,2.082448899,1,1,1,6,174.6179722,319.6320281,1,0.462459326,179.9228581,316.9293842,329.6564322,191.2056827,2051.516129,2051.516129
438,"405,406,437,439,468,469",438,34.0694525,34.0694525,1,1,0,0,,,0,0,2.348743201,1,1,1,6,171.2103416,322.3873826,1,0.352338926,175.7458166,309.6723561,324.4455422,189.8638488,2652.459677,2652.459677
439,"406,407,438,440,469,470",439,16.33793443,16.33793443,1,1,0,0,,,0,0,2.708019433,1,1,1,6,180.0301204,314.7583668,1,0.256809233,176.8925703,300.2458166,321.0788819,189.5900602,3041.379032,3041.379032
440,"407,408,439,441,470,471",440,16.74937158,16.74937158,1,1,0,0,,,0,1,5.124849147,1,1,1,6,176.6246652,307.8937421,1,0.279838106,174.8400268,297.5870147,314.2318341,189.0347454,3252.129032,3252.129032
441,"408,409,440,442,471,472",441,11.13549965,11.13549965,1,1,0,0,,,0,0,4.090162336,1,1,1,6,178.86747,314.2573623,1,0.237558811,182.4871151,304.6844043,317.9635474,192.5086613,3220.919355,3220.919355
442,"409,410,441,443,472,473",442,13.47912678,13.47912678,1,1,0,0,,,0,0,2.039378884,1,1,1,6,195.1999665,334.6768734,1,0.292915297,199.9844378,322.7198795,337.3736479,207.0395314,2922.766129,2922.766129
443,"410,411,442,444,473,474",443,17.75228484,17.75228484,1,1,0,0,,,0,0,4.039220413,1,1,1,6,196.1253347,332.2277446,1,0.24315509,198.0220884,321.29083,335.7031527,209.0447188,3361.185484,3361.185484
444,"411,412,443,445,474,475",444,24.64644902,24.64644902,1,1,0,0,,,0,1,3.230208119,1,1,1,1,203.8587686,319.9969878,1,0.270219948,202.645917,324.2090027,333.8442167,213.2415195,3477.669355,3477.669355
445,"412,413,444,446,475,476",445,23.16066422,23.16066422,1,1,0,0,,,0,0,2.094928982,1,1,1,1,199.9044513,307.4384203,1,0.266144944,199.2054886,316.9272088,329.9894644,207.9080656,3356.483871,3356.483871
